Weight	Squared?	Rule	Satisfaction
20.0	true	( ~( LIVED('0', '1') ) | ~( LIVED('10', '1') ) | KNOWS('10', '0') )	0.9999965087586133
20.0	true	( ~( LIVED('0', '1') ) | ~( LIVED('13', '1') ) | KNOWS('13', '0') )	0.7652504593133926
20.0	true	( ~( LIVED('0', '1') ) | ~( LIVED('2', '1') ) | KNOWS('2', '0') )	0.9999988225524703
20.0	true	( ~( LIVED('0', '1') ) | ~( LIVED('1', '1') ) | KNOWS('1', '0') )	0.7941623032093048
20.0	true	( ~( LIVED('0', '1') ) | ~( LIVED('14', '1') ) | KNOWS('14', '0') )	0.9999699886357121
20.0	true	( ~( LIVED('0', '2') ) | ~( LIVED('1', '2') ) | KNOWS('1', '0') )	0.7941623032093048
20.0	true	( ~( LIVED('0', '2') ) | ~( LIVED('14', '2') ) | KNOWS('14', '0') )	0.9999699886357121
20.0	true	( ~( LIVED('0', '3') ) | ~( LIVED('5', '3') ) | KNOWS('5', '0') )	0.766422227025032
20.0	true	( ~( LIVED('0', '3') ) | ~( LIVED('12', '3') ) | KNOWS('12', '0') )	0.009408533573150635
20.0	true	( ~( LIVED('0', '3') ) | ~( LIVED('18', '3') ) | KNOWS('18', '0') )	0.9999452809242939
20.0	true	( ~( LIVED('0', '4') ) | ~( LIVED('1', '4') ) | KNOWS('1', '0') )	0.7941623032093048
20.0	true	( ~( LIVED('0', '4') ) | ~( LIVED('10', '4') ) | KNOWS('10', '0') )	0.9999965087586133
20.0	true	( ~( LIVED('0', '4') ) | ~( LIVED('5', '4') ) | KNOWS('5', '0') )	0.766422227025032
20.0	true	( ~( LIVED('0', '4') ) | ~( LIVED('14', '4') ) | KNOWS('14', '0') )	0.9999699886357121
20.0	true	( ~( LIVED('0', '4') ) | ~( LIVED('13', '4') ) | KNOWS('13', '0') )	0.7652504593133926
20.0	true	( ~( LIVED('0', '4') ) | ~( LIVED('18', '4') ) | KNOWS('18', '0') )	0.9999452809242939
20.0	true	( ~( LIVED('1', '0') ) | ~( LIVED('4', '0') ) | KNOWS('4', '1') )	0.9999293985529221
20.0	true	( ~( LIVED('1', '0') ) | ~( LIVED('13', '0') ) | KNOWS('13', '1') )	0.8108476400375366
20.0	true	( ~( LIVED('1', '0') ) | ~( LIVED('14', '0') ) | KNOWS('14', '1') )	0.9999747281108284
20.0	true	( ~( LIVED('0', '2') ) | ~( LIVED('12', '2') ) | KNOWS('12', '0') )	0.009408533573150635
