0	1
0	4
0	5
0	7
0	11
0	13
0	16
0	21
0	23
1	0
1	6
1	11
1	12
1	13
1	15
1	16
1	20
1	21
2	0
2	10
2	14
2	15
2	17
2	18
2	23
3	0
3	4
3	5
3	6
3	8
3	10
3	11
3	17
4	1
4	2
4	7
4	8
4	11
4	14
4	15
4	16
4	18
4	19
4	20
4	22
5	0
5	1
5	11
5	13
5	18
5	19
5	20
5	22
6	3
6	8
6	12
6	16
6	18
6	21
6	24
7	3
7	6
7	8
7	13
7	15
7	20
7	22
8	10
8	13
8	19
8	20
8	24
9	1
9	3
9	13
9	16
9	17
9	18
9	19
9	20
9	21
9	22
9	23
10	0
10	1
10	4
10	8
10	13
10	16
11	6
11	15
11	17
11	19
12	0
12	1
12	5
12	7
12	23
13	0
13	1
13	2
13	4
13	6
13	8
13	9
13	16
13	17
13	22
14	0
14	1
14	2
14	3
14	6
14	8
14	9
14	11
14	15
14	16
14	23
14	24
15	2
15	6
15	10
15	11
15	12
15	16
15	18
15	24
16	6
16	8
16	9
16	13
16	17
16	20
17	1
17	4
17	10
17	14
17	15
17	18
17	22
17	24
18	0
18	3
18	6
18	8
18	9
18	13
18	14
18	15
18	16
18	20
18	21
18	22
19	2
19	7
19	11
19	15
19	18
19	20
19	22
19	24
20	2
20	4
20	5
20	8
20	11
20	17
20	19
21	14
21	15
21	18
21	23
22	8
22	9
22	11
22	14
22	15
22	16
22	17
22	21
23	1
23	3
23	7
23	9
23	10
23	17
23	21
24	1
24	2
24	7
24	18
24	21
24	22
24	23
